year,county,death_type,deaths,population,deaths_per_100000
2005,Alameda,All Combined,1,1459881,0.07
2005,Alameda,Felony,1,1459881,0.07
2005,Alameda,Accidental,0,1459881,0.0
2005,All Combined,All Combined,14,35985595,0.04
2005,All Combined,Felony,5,35985595,0.01
2005,All Combined,Accidental,9,35985595,0.03
2005,Alpine,All Combined,0,1210,0.0
2005,Alpine,Felony,0,1210,0.0
2005,Alpine,Accidental,0,1210,0.0
2005,Amador,All Combined,0,37723,0.0
2005,Amador,Felony,0,37723,0.0
2005,Amador,Accidental,0,37723,0.0
2005,Butte,All Combined,0,213701,0.0
2005,Butte,Felony,0,213701,0.0
2005,Butte,Accidental,0,213701,0.0
2005,Calaveras,All Combined,0,44774,0.0
2005,Calaveras,Felony,0,44774,0.0
2005,Calaveras,Accidental,0,44774,0.0
2005,Colusa,All Combined,0,20565,0.0
2005,Colusa,Felony,0,20565,0.0
2005,Colusa,Accidental,0,20565,0.0
2005,Contra Costa,All Combined,1,1004229,0.1
2005,Contra Costa,Felony,1,1004229,0.1
2005,Contra Costa,Accidental,0,1004229,0.0
2005,Del Norte,All Combined,0,28316,0.0
2005,Del Norte,Felony,0,28316,0.0
2005,Del Norte,Accidental,0,28316,0.0
2005,El Dorado,All Combined,0,173183,0.0
2005,El Dorado,Felony,0,173183,0.0
2005,El Dorado,Accidental,0,173183,0.0
2005,Fresno,All Combined,0,871912,0.0
2005,Fresno,Felony,0,871912,0.0
2005,Fresno,Accidental,0,871912,0.0
2005,Glenn,All Combined,0,27523,0.0
2005,Glenn,Felony,0,27523,0.0
2005,Glenn,Accidental,0,27523,0.0
2005,Humboldt,All Combined,0,131689,0.0
2005,Humboldt,Felony,0,131689,0.0
2005,Humboldt,Accidental,0,131689,0.0
2005,Imperial,All Combined,0,157656,0.0
2005,Imperial,Felony,0,157656,0.0
2005,Imperial,Accidental,0,157656,0.0
2005,Inyo,All Combined,0,18463,0.0
2005,Inyo,Felony,0,18463,0.0
2005,Inyo,Accidental,0,18463,0.0
2005,Kern,All Combined,1,761972,0.13
2005,Kern,Felony,0,761972,0.0
2005,Kern,Accidental,1,761972,0.13
2005,Kings,All Combined,0,144602,0.0
2005,Kings,Felony,0,144602,0.0
2005,Kings,Accidental,0,144602,0.0
2005,Lake,All Combined,0,63108,0.0
2005,Lake,Felony,0,63108,0.0
2005,Lake,Accidental,0,63108,0.0
2005,Lassen,All Combined,0,34529,0.0
2005,Lassen,Felony,0,34529,0.0
2005,Lassen,Accidental,0,34529,0.0
2005,Los Angeles,All Combined,2,9809556,0.02
2005,Los Angeles,Felony,1,9809556,0.01
2005,Los Angeles,Accidental,1,9809556,0.01
2005,Madera,All Combined,0,139868,0.0
2005,Madera,Felony,0,139868,0.0
2005,Madera,Accidental,0,139868,0.0
2005,Marin,All Combined,0,246688,0.0
2005,Marin,Felony,0,246688,0.0
2005,Marin,Accidental,0,246688,0.0
2005,Mariposa,All Combined,0,18057,0.0
2005,Mariposa,Felony,0,18057,0.0
2005,Mariposa,Accidental,0,18057,0.0
2005,Mendocino,All Combined,0,88014,0.0
2005,Mendocino,Felony,0,88014,0.0
2005,Mendocino,Accidental,0,88014,0.0
2005,Merced,All Combined,0,240600,0.0
2005,Merced,Felony,0,240600,0.0
2005,Merced,Accidental,0,240600,0.0
2005,Modoc,All Combined,0,9589,0.0
2005,Modoc,Felony,0,9589,0.0
2005,Modoc,Accidental,0,9589,0.0
2005,Mono,All Combined,0,13801,0.0
2005,Mono,Felony,0,13801,0.0
2005,Mono,Accidental,0,13801,0.0
2005,Monterey,All Combined,0,407973,0.0
2005,Monterey,Felony,0,407973,0.0
2005,Monterey,Accidental,0,407973,0.0
2005,Napa,All Combined,0,130740,0.0
2005,Napa,Felony,0,130740,0.0
2005,Napa,Accidental,0,130740,0.0
2005,Nevada,All Combined,0,97802,0.0
2005,Nevada,Felony,0,97802,0.0
2005,Nevada,Accidental,0,97802,0.0
2005,Orange,All Combined,0,2957151,0.0
2005,Orange,Felony,0,2957151,0.0
2005,Orange,Accidental,0,2957151,0.0
2005,Placer,All Combined,1,312632,0.32
2005,Placer,Felony,0,312632,0.0
2005,Placer,Accidental,1,312632,0.32
2005,Plumas,All Combined,0,20859,0.0
2005,Plumas,Felony,0,20859,0.0
2005,Plumas,Accidental,0,20859,0.0
2005,Riverside,All Combined,0,1934724,0.0
2005,Riverside,Felony,0,1934724,0.0
2005,Riverside,Accidental,0,1934724,0.0
2005,Sacramento,All Combined,2,1358169,0.15
2005,Sacramento,Felony,0,1358169,0.0
2005,Sacramento,Accidental,2,1358169,0.15
2005,San Benito,All Combined,0,55155,0.0
2005,San Benito,Felony,0,55155,0.0
2005,San Benito,Accidental,0,55155,0.0
2005,San Bernardino,All Combined,2,1942734,0.1
2005,San Bernardino,Felony,0,1942734,0.0
2005,San Bernardino,Accidental,2,1942734,0.1
2005,San Diego,All Combined,0,2970136,0.0
2005,San Diego,Felony,0,2970136,0.0
2005,San Diego,Accidental,0,2970136,0.0
2005,San Francisco,All Combined,0,779657,0.0
2005,San Francisco,Felony,0,779657,0.0
2005,San Francisco,Accidental,0,779657,0.0
2005,San Joaquin,All Combined,0,651625,0.0
2005,San Joaquin,Felony,0,651625,0.0
2005,San Joaquin,Accidental,0,651625,0.0
2005,San Luis Obispo,All Combined,0,259944,0.0
2005,San Luis Obispo,Felony,0,259944,0.0
2005,San Luis Obispo,Accidental,0,259944,0.0
2005,San Mateo,All Combined,0,699276,0.0
2005,San Mateo,Felony,0,699276,0.0
2005,San Mateo,Accidental,0,699276,0.0
2005,Santa Barbara,All Combined,0,411685,0.0
2005,Santa Barbara,Felony,0,411685,0.0
2005,Santa Barbara,Accidental,0,411685,0.0
2005,Santa Clara,All Combined,0,1699520,0.0
2005,Santa Clara,Felony,0,1699520,0.0
2005,Santa Clara,Accidental,0,1699520,0.0
2005,Santa Cruz,All Combined,1,254726,0.39
2005,Santa Cruz,Felony,0,254726,0.0
2005,Santa Cruz,Accidental,1,254726,0.39
2005,Shasta,All Combined,0,174252,0.0
2005,Shasta,Felony,0,174252,0.0
2005,Shasta,Accidental,0,174252,0.0
2005,Sierra,All Combined,0,3430,0.0
2005,Sierra,Felony,0,3430,0.0
2005,Sierra,Accidental,0,3430,0.0
2005,Siskiyou,All Combined,0,44944,0.0
2005,Siskiyou,Felony,0,44944,0.0
2005,Siskiyou,Accidental,0,44944,0.0
2005,Solano,All Combined,0,410570,0.0
2005,Solano,Felony,0,410570,0.0
2005,Solano,Accidental,0,410570,0.0
2005,Sonoma,All Combined,0,469523,0.0
2005,Sonoma,Felony,0,469523,0.0
2005,Sonoma,Accidental,0,469523,0.0
2005,Stanislaus,All Combined,1,498019,0.2
2005,Stanislaus,Felony,1,498019,0.2
2005,Stanislaus,Accidental,0,498019,0.0
2005,Sutter,All Combined,0,88106,0.0
2005,Sutter,Felony,0,88106,0.0
2005,Sutter,Accidental,0,88106,0.0
2005,Tehama,All Combined,0,60461,0.0
2005,Tehama,Felony,0,60461,0.0
2005,Tehama,Accidental,0,60461,0.0
2005,Trinity,All Combined,0,13789,0.0
2005,Trinity,Felony,0,13789,0.0
2005,Trinity,Accidental,0,13789,0.0
2005,Tulare,All Combined,1,408403,0.24
2005,Tulare,Felony,0,408403,0.0
2005,Tulare,Accidental,1,408403,0.24
2005,Tuolumne,All Combined,0,56452,0.0
2005,Tuolumne,Felony,0,56452,0.0
2005,Tuolumne,Accidental,0,56452,0.0
2005,Ventura,All Combined,0,796866,0.0
2005,Ventura,Felony,0,796866,0.0
2005,Ventura,Accidental,0,796866,0.0
2005,Yolo,All Combined,1,187353,0.53
2005,Yolo,Felony,1,187353,0.53
2005,Yolo,Accidental,0,187353,0.0
2005,Yuba,All Combined,0,67710,0.0
2005,Yuba,Felony,0,67710,0.0
2005,Yuba,Accidental,0,67710,0.0
2006,Alameda,All Combined,1,1464837,0.07
2006,Alameda,Felony,0,1464837,0.0
2006,Alameda,Accidental,1,1464837,0.07
2006,All Combined,All Combined,11,36246829,0.03
2006,All Combined,Felony,5,36246829,0.01
2006,All Combined,Accidental,6,36246829,0.02
2006,Alpine,All Combined,0,1255,0.0
2006,Alpine,Felony,0,1255,0.0
2006,Alpine,Accidental,0,1255,0.0
2006,Amador,All Combined,0,37966,0.0
2006,Amador,Felony,0,37966,0.0
2006,Amador,Accidental,0,37966,0.0
2006,Butte,All Combined,0,215684,0.0
2006,Butte,Felony,0,215684,0.0
2006,Butte,Accidental,0,215684,0.0
2006,Calaveras,All Combined,0,45314,0.0
2006,Calaveras,Felony,0,45314,0.0
2006,Calaveras,Accidental,0,45314,0.0
2006,Colusa,All Combined,0,20892,0.0
2006,Colusa,Felony,0,20892,0.0
2006,Colusa,Accidental,0,20892,0.0
2006,Contra Costa,All Combined,0,1010103,0.0
2006,Contra Costa,Felony,0,1010103,0.0
2006,Contra Costa,Accidental,0,1010103,0.0
2006,Del Norte,All Combined,0,28277,0.0
2006,Del Norte,Felony,0,28277,0.0
2006,Del Norte,Accidental,0,28277,0.0
2006,El Dorado,All Combined,0,175261,0.0
2006,El Dorado,Felony,0,175261,0.0
2006,El Dorado,Accidental,0,175261,0.0
2006,Fresno,All Combined,0,886376,0.0
2006,Fresno,Felony,0,886376,0.0
2006,Fresno,Accidental,0,886376,0.0
2006,Glenn,All Combined,0,27732,0.0
2006,Glenn,Felony,0,27732,0.0
2006,Glenn,Accidental,0,27732,0.0
2006,Humboldt,All Combined,0,132226,0.0
2006,Humboldt,Felony,0,132226,0.0
2006,Humboldt,Accidental,0,132226,0.0
2006,Imperial,All Combined,0,162535,0.0
2006,Imperial,Felony,0,162535,0.0
2006,Imperial,Accidental,0,162535,0.0
2006,Inyo,All Combined,0,18420,0.0
2006,Inyo,Felony,0,18420,0.0
2006,Inyo,Accidental,0,18420,0.0
2006,Kern,All Combined,1,786219,0.13
2006,Kern,Felony,0,786219,0.0
2006,Kern,Accidental,1,786219,0.13
2006,Kings,All Combined,0,147495,0.0
2006,Kings,Felony,0,147495,0.0
2006,Kings,Accidental,0,147495,0.0
2006,Lake,All Combined,0,63791,0.0
2006,Lake,Felony,0,63791,0.0
2006,Lake,Accidental,0,63791,0.0
2006,Lassen,All Combined,0,35013,0.0
2006,Lassen,Felony,0,35013,0.0
2006,Lassen,Accidental,0,35013,0.0
2006,Los Angeles,All Combined,2,9787326,0.02
2006,Los Angeles,Felony,0,9787326,0.0
2006,Los Angeles,Accidental,2,9787326,0.02
2006,Madera,All Combined,0,143526,0.0
2006,Madera,Felony,0,143526,0.0
2006,Madera,Accidental,0,143526,0.0
2006,Marin,All Combined,0,247245,0.0
2006,Marin,Felony,0,247245,0.0
2006,Marin,Accidental,0,247245,0.0
2006,Mariposa,All Combined,0,18246,0.0
2006,Mariposa,Felony,0,18246,0.0
2006,Mariposa,Accidental,0,18246,0.0
2006,Mendocino,All Combined,0,87584,0.0
2006,Mendocino,Felony,0,87584,0.0
2006,Mendocino,Accidental,0,87584,0.0
2006,Merced,All Combined,0,245556,0.0
2006,Merced,Felony,0,245556,0.0
2006,Merced,Accidental,0,245556,0.0
2006,Modoc,All Combined,0,9641,0.0
2006,Modoc,Felony,0,9641,0.0
2006,Modoc,Accidental,0,9641,0.0
2006,Mono,All Combined,0,14152,0.0
2006,Mono,Felony,0,14152,0.0
2006,Mono,Accidental,0,14152,0.0
2006,Monterey,All Combined,0,405877,0.0
2006,Monterey,Felony,0,405877,0.0
2006,Monterey,Accidental,0,405877,0.0
2006,Napa,All Combined,0,131921,0.0
2006,Napa,Felony,0,131921,0.0
2006,Napa,Accidental,0,131921,0.0
2006,Nevada,All Combined,0,98333,0.0
2006,Nevada,Felony,0,98333,0.0
2006,Nevada,Accidental,0,98333,0.0
2006,Orange,All Combined,0,2955432,0.0
2006,Orange,Felony,0,2955432,0.0
2006,Orange,Accidental,0,2955432,0.0
